,id,Цена,Цена за кв.метр,Количество собственников,Район,Улица,Вид сделки,Количество комнат,Общая площадь,Площадь кухни,Жилая площадь,Этаж,Этажей в доме,Балкон или лоджия,Высота потолков,Санузел,Окна,Ремонт,Техника,Способ продажи,Тип дома,Год постройки,Пассажирский лифт,Грузовой лифт,В доме,Двор,Парковка,Дополнительно,Тип комнат,Мебель,Тип продавца,Data_added,latitude,longitude,center_distance,metro_distance
870,4340930888,5490000.0,150000.0,2 собственника или больше,Promyshlenny,"пер. Юрия Павлова, 7А",возможна ипотека,1,36.6,11.0,16.0,6.0,10.0,лоджия,2.5,совмещенный,на улицу,евро,кондиционер,свободная,кирпичный,2006.0,нет,1,газ,детская площадка,открытая во дворе,гардеробная,,"кухня, хранение одежды, спальные места",частное лицо,2025-05-07,53.221409,50.253194,11.11,1.02
875,4542320725,15900000.0,139474.0,1 собственник,Promyshlenny,"Солнечная ул., 40",возможна ипотека,3,114.0,10.0,90.0,9.0,9.0,лоджия,3.2,совмещенный,"во двор, на улицу, на солнечную сторону",требует ремонта,,свободная,кирпичный,2022.0,1,1,газ,"закрытая территория, детская площадка, спортивная площадка","подземная, наземная многоуровневая, открытая во дворе, за шлагбаумом во дворе","гардеробная, панорамные окна",изолированные,хранение одежды,частное лицо,2025-05-07,53.256724,50.201883,10.23,5.8
878,4659435708,8000000.0,186047.0,1 собственник,,"Волжский пр-т, 15",возможна ипотека,2,43.0,9.0,,4.0,5.0,балкон,3.0,совмещенный,во двор,косметический,"холодильник, стиральная машина",свободная,кирпичный,1960.0,нет,нет,газ,детская площадка,за шлагбаумом во дворе,,смежные,"кухня, хранение одежды, спальные места",частное лицо,2025-05-07,53.203085,50.105951,1.53,2.01
882,7345759442,4050000.0,122727.0,2 собственника или больше,Promyshlenny,"Ташкентская ул., 208",возможна ипотека,1,33.0,9.5,17.2,1.0,12.0,,2.5,раздельный,на улицу,евро,кондиционер,свободная,панельный,1980.0,1,,мусоропровод,"детская площадка, спортивная площадка",открытая во дворе,,,хранение одежды,частное лицо,2025-05-07,53.262358,50.23521,12.29,5.59
889,7272530541,11500000.0,143750.0,1 собственник,Kuibyshevsky,"Южное ш., 7А",,3,80.0,11.0,,3.0,24.0,лоджия,,совмещенный,,дизайнерский,"кондиционер, посудомоечная машина",свободная,монолитный,2021.0,1,1,,"закрытая территория, детская площадка, спортивная площадка",открытая во дворе,"гардеробная, панорамные окна",изолированные,"кухня, хранение одежды",частное лицо,2025-05-07,53.135588,50.169435,7.95,7.22
890,1223832120,6500000.0,114035.0,2 собственника или больше,Kirovsky,"Физкультурная ул., 127",,3,57.0,7.0,42.0,4.0,5.0,балкон,,совмещенный,"во двор, на улицу",косметический,,свободная,кирпичный,,,,,"детская площадка, спортивная площадка",,,смежные,,частное лицо,2025-05-07,53.220454,50.270684,12.2,1.07
891,7346415459,8490000.0,125406.0,1 собственник,Kuibyshevsky,"ул. Виталия Талабаева, 4",возможна ипотека,2,67.7,14.0,33.2,15.0,16.0,балкон,2.7,совмещенный,"на улицу, на солнечную сторону",евро,,свободная,кирпичный,2018.0,1,1,,детская площадка,открытая во дворе,"гардеробная, панорамные окна",изолированные,кухня,частное лицо,2025-05-07,53.146942,50.078131,5.04,7.9
893,4455568146,4200000.0,92715.0,1 собственник,Kuibyshevsky,"Осетинская ул., 19",,1,45.3,13.6,18.3,21.0,24.0,балкон,2.7,совмещенный,"во двор, на солнечную сторону",требует ремонта,,свободная,монолитно-кирпичный,2023.0,3,2,,"детская площадка, спортивная площадка",открытая во дворе,,,,агентство,2025-05-07,53.145376,50.075166,5.25,8.15
894,1172992069,7900000.0,98750.0,1 собственник,Leninsky,"Никитинская ул., 77",возможна ипотека,3,80.0,8.0,62.0,1.0,9.0,лоджия,,раздельный,"во двор, на улицу",косметический,,свободная,кирпичный,,1,,газ,"детская площадка, спортивная площадка",,,изолированные,,агентство,2025-05-07,53.193742,50.120962,1.78,1.96
900,7263672520,11000000.0,201465.0,1 собственник,Leninsky,"Садовая ул., 168",возможна ипотека,2,54.6,10.9,29.6,9.0,21.0,"балкон, лоджия",2.7,совмещенный,"во двор, на улицу",требует ремонта,,свободная,монолитно-кирпичный,2024.0,2,,,"закрытая территория, детская площадка, спортивная площадка",открытая во дворе,,изолированные,,агентство,2025-05-07,53.195349,50.109212,1.08,2.29
901,4938009735,2420000.0,77316.0,Контактное лицо,Kuibyshevsky,"Пугачёвский тракт, 12",,1,31.3,6.6,18.7,4.0,5.0,балкон,2.7,совмещенный,"во двор, на улицу",косметический,,свободная,панельный,,нет,нет,газ,закрытая территория,открытая во дворе,,,,агентство,2025-05-07,53.109795,50.080394,9.1,11.65
902,2932820421,9000000.0,107527.0,2 собственника или больше,Leninsky,"Никитинская пл., 5/28",возможна ипотека,4,83.7,8.5,61.6,4.0,5.0,балкон,3.0,раздельный,"во двор, на улицу, на солнечную сторону",требует ремонта,,свободная,кирпичный,1947.0,нет,нет,газ,"закрытая территория, детская площадка",открытая во дворе,,"изолированные, смежные",,частное лицо,2025-05-07,53.195517,50.125894,2.14,1.65
907,4818971823,3000000.0,55351.0,1 собственник,,"Первомайская ул., 35",,3,54.2,5.6,39.3,2.0,2.0,,,раздельный,"на улицу, на солнечную сторону",косметический,,свободная,блочный,1969.0,нет,нет,газ,,,,смежные,,частное лицо,2025-05-07,53.207011,50.126029,2.74,0.61
908,4374544394,3300000.0,106452.0,1 собственник,Promyshlenny,"Заводское ш., 58",,1,31.0,5.0,20.0,5.0,9.0,лоджия,2.5,совмещенный,во двор,требует ремонта,,свободная,кирпичный,1979.0,1,нет,газ,детская площадка,открытая во дворе,,,,частное лицо,2025-05-07,53.210759,50.283396,12.8,0.17
